# Scanlist: 20260519_Pt(5)Co(5)-wu89_10mA_8725Hz_scan-x_PMOKE_12p50mm_TestSamba_lam2  2026-05-19T22:15:47.887176
# path	relay_sign	field_T
/home/intermag/moke_data/20260519/151608_SPATIAL_Pt_5_Co_5_-wu89_scan_x_trace.h5	+1	0.050000
/home/intermag/moke_data/20260519/152625_SPATIAL_Pt_5_Co_5_-wu89_scan_x_retrace.h5	+1	0.050000
/home/intermag/moke_data/20260519/153751_SPATIAL_Pt_5_Co_5_-wu89_scan_x_trace.h5	+1	-0.049200
/home/intermag/moke_data/20260519/154807_SPATIAL_Pt_5_Co_5_-wu89_scan_x_retrace.h5	+1	-0.049200
/home/intermag/moke_data/20260519/155919_SPATIAL_Pt_5_Co_5_-wu89_scan_x_trace.h5	+1	0.049200
/home/intermag/moke_data/20260519/160930_SPATIAL_Pt_5_Co_5_-wu89_scan_x_retrace.h5	+1	0.049200
/home/intermag/moke_data/20260519/162046_SPATIAL_Pt_5_Co_5_-wu89_scan_x_trace.h5	+1	-0.049100
/home/intermag/moke_data/20260519/163057_SPATIAL_Pt_5_Co_5_-wu89_scan_x_retrace.h5	+1	-0.049100
/home/intermag/moke_data/20260519/164216_SPATIAL_Pt_5_Co_5_-wu89_scan_x_trace.h5	+1	0.049200
/home/intermag/moke_data/20260519/165233_SPATIAL_Pt_5_Co_5_-wu89_scan_x_retrace.h5	+1	0.049200
/home/intermag/moke_data/20260519/170356_SPATIAL_Pt_5_Co_5_-wu89_scan_x_trace.h5	+1	-0.049200
/home/intermag/moke_data/20260519/171407_SPATIAL_Pt_5_Co_5_-wu89_scan_x_retrace.h5	+1	-0.049200
/home/intermag/moke_data/20260519/172524_SPATIAL_Pt_5_Co_5_-wu89_scan_x_trace.h5	+1	0.049400
/home/intermag/moke_data/20260519/173207_SPATIAL_Pt_5_Co_5_-wu89_scan_x_retrace.h5	+1	0.049400
/home/intermag/moke_data/20260519/174332_SPATIAL_Pt_5_Co_5_-wu89_scan_x_trace.h5	+1	-0.049200
/home/intermag/moke_data/20260519/175350_SPATIAL_Pt_5_Co_5_-wu89_scan_x_retrace.h5	+1	-0.049200
/home/intermag/moke_data/20260519/180507_SPATIAL_Pt_5_Co_5_-wu89_scan_x_trace.h5	+1	0.049300
/home/intermag/moke_data/20260519/181525_SPATIAL_Pt_5_Co_5_-wu89_scan_x_retrace.h5	+1	0.049300
/home/intermag/moke_data/20260519/182647_SPATIAL_Pt_5_Co_5_-wu89_scan_x_trace.h5	+1	-0.049100
/home/intermag/moke_data/20260519/183703_SPATIAL_Pt_5_Co_5_-wu89_scan_x_retrace.h5	+1	-0.049100
/home/intermag/moke_data/20260519/184820_SPATIAL_Pt_5_Co_5_-wu89_scan_x_trace.h5	+1	0.049100
/home/intermag/moke_data/20260519/185835_SPATIAL_Pt_5_Co_5_-wu89_scan_x_retrace.h5	+1	0.049100
/home/intermag/moke_data/20260519/191001_SPATIAL_Pt_5_Co_5_-wu89_scan_x_trace.h5	+1	-0.049100
/home/intermag/moke_data/20260519/192018_SPATIAL_Pt_5_Co_5_-wu89_scan_x_retrace.h5	+1	-0.049100
/home/intermag/moke_data/20260519/193138_SPATIAL_Pt_5_Co_5_-wu89_scan_x_trace.h5	+1	0.049400
/home/intermag/moke_data/20260519/194157_SPATIAL_Pt_5_Co_5_-wu89_scan_x_retrace.h5	+1	0.049400
/home/intermag/moke_data/20260519/195322_SPATIAL_Pt_5_Co_5_-wu89_scan_x_trace.h5	+1	-0.049300
/home/intermag/moke_data/20260519/200341_SPATIAL_Pt_5_Co_5_-wu89_scan_x_retrace.h5	+1	-0.049300
/home/intermag/moke_data/20260519/201500_SPATIAL_Pt_5_Co_5_-wu89_scan_x_trace.h5	+1	0.049300
/home/intermag/moke_data/20260519/202140_SPATIAL_Pt_5_Co_5_-wu89_scan_x_retrace.h5	+1	0.049300
/home/intermag/moke_data/20260519/203301_SPATIAL_Pt_5_Co_5_-wu89_scan_x_trace.h5	+1	-0.049400
/home/intermag/moke_data/20260519/204316_SPATIAL_Pt_5_Co_5_-wu89_scan_x_retrace.h5	+1	-0.049400
/home/intermag/moke_data/20260519/205431_SPATIAL_Pt_5_Co_5_-wu89_scan_x_trace.h5	+1	0.049100
/home/intermag/moke_data/20260519/210444_SPATIAL_Pt_5_Co_5_-wu89_scan_x_retrace.h5	+1	0.049100
/home/intermag/moke_data/20260519/211604_SPATIAL_Pt_5_Co_5_-wu89_scan_x_trace.h5	+1	-0.049200
/home/intermag/moke_data/20260519/212616_SPATIAL_Pt_5_Co_5_-wu89_scan_x_retrace.h5	+1	-0.049200
/home/intermag/moke_data/20260519/213734_SPATIAL_Pt_5_Co_5_-wu89_scan_x_trace.h5	+1	0.049400
/home/intermag/moke_data/20260519/214746_SPATIAL_Pt_5_Co_5_-wu89_scan_x_retrace.h5	+1	0.049400
/home/intermag/moke_data/20260519/215901_SPATIAL_Pt_5_Co_5_-wu89_scan_x_trace.h5	+1	-0.049400
/home/intermag/moke_data/20260519/220536_SPATIAL_Pt_5_Co_5_-wu89_scan_x_retrace.h5	+1	-0.049400
